whitecount_line0,start_line0,end_line0,median_red_contours_touching_line0,median_green_contours_touching_line0,median_blue_contours_touching_line0,whitecount_line1,start_line1,end_line1,median_red_contours_touching_line1,median_green_contours_touching_line1,median_blue_contours_touching_line1,whitecount_line2,start_line2,end_line2,median_red_contours_touching_line2,median_green_contours_touching_line2,median_blue_contours_touching_line2,whitecount_line3,start_line3,end_line3,median_red_contours_touching_line3,median_green_contours_touching_line3,median_blue_contours_touching_line3,whitecount_line4,start_line4,end_line4,median_red_contours_touching_line4,median_green_contours_touching_line4,median_blue_contours_touching_line4,whitecount_line5,start_line5,end_line5,median_red_contours_touching_line5,median_green_contours_touching_line5,median_blue_contours_touching_line5,whitecount_line6,start_line6,end_line6,median_red_contours_touching_line6,median_green_contours_touching_line6,median_blue_contours_touching_line6,whitecount_line7,start_line7,end_line7,median_red_contours_touching_line7,median_green_contours_touching_line7,median_blue_contours_touching_line7,whitecount_line8,start_line8,end_line8,median_red_contours_touching_line8,median_green_contours_touching_line8,median_blue_contours_touching_line8,whitecount_line9,start_line9,end_line9,median_red_contours_touching_line9,median_green_contours_touching_line9,median_blue_contours_touching_line9
135,174,179,32,40,39,67,348,353,34,28,25,77,522,527,67,69,69,184,696,701,75,74,71,105,870,875,118,96,85,572,1044,1049,123,100,94,160,1218,1223,105,86,66,0,1392,1397,-1,-1,-1,185,1566,1571,95,89,80,108,1740,1745,52,46,39
0,174,179,-1,-1,-1,178,348,353,105,108,106,0,522,527,-1,-1,-1,0,696,701,-1,-1,-1,54,870,875,0,0,0,696,1044,1049,123,102,95,39,1218,1223,1,0,0,0,1392,1397,-1,-1,-1,45,1566,1571,0,0,0,0,1740,1745,-1,-1,-1
39,174,179,0,0,0,0,348,353,-1,-1,-1,45,522,527,0,0,0,205,696,701,66,53,49,99,870,875,25,11,0,793,1044,1049,118,99,93,0,1218,1223,-1,-1,-1,0,1392,1397,-1,-1,-1,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
30,174,179,0,0,0,0,348,353,-1,-1,-1,50,522,527,0,0,0,208,696,701,66,53,49,98,870,875,22,11,0,798,1044,1049,119,99,93,0,1218,1223,-1,-1,-1,0,1392,1397,-1,-1,-1,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
20,174,179,1,0,0,0,348,353,-1,-1,-1,40,522,527,0,0,0,210,696,701,65,53,49,99,870,875,23,11,0,808,1044,1049,119,99,93,0,1218,1223,-1,-1,-1,0,1392,1397,-1,-1,-1,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
0,174,179,-1,-1,-1,0,348,353,-1,-1,-1,27,522,527,0,1,0,225,696,701,66,54,49,99,870,875,27,11,2,809,1044,1049,125,102,96,10,1218,1223,21,13,10,0,1392,1397,-1,-1,-1,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
0,174,179,-1,-1,-1,0,348,353,-1,-1,-1,0,522,527,-1,-1,-1,248,696,701,65,54,50,97,870,875,24,12,1,834,1044,1049,124,102,96,27,1218,1223,26,20,17,0,1392,1397,-1,-1,-1,27,1566,1571,0,0,1,0,1740,1745,-1,-1,-1
45,174,179,0,0,0,0,348,353,-1,-1,-1,0,522,527,-1,-1,-1,277,696,701,66,55,51,76,870,875,23,11,1,852,1044,1049,124,102,96,45,1218,1223,31,23,20,45,1392,1397,0,0,0,45,1566,1571,0,0,0,0,1740,1745,-1,-1,-1
54,174,179,0,0,1,54,348,353,0,0,1,0,522,527,-1,-1,-1,303,696,701,68,56,51,55,870,875,49,24,1,889,1044,1049,124,103,96,85,1218,1223,41,32,33,0,1392,1397,-1,-1,-1,55,1566,1571,0,1,6,0,1740,1745,-1,-1,-1
60,174,179,1,1,8,50,348,353,0,0,0,0,522,527,-1,-1,-1,309,696,701,129,104,93,65,870,875,27,13,0,921,1044,1049,124,103,96,417,1218,1223,130,105,99,0,1392,1397,-1,-1,-1,42,1566,1571,0,1,1,0,1740,1745,-1,-1,-1
