x,y,colour,velocity,time
1311,221,"(255,255,255)",57.871365763721464,0
1691,590,"(255,255,255)",51.243086087079845,1
1495,28,"(255,255,255)",46.25386470004254,2
276,68,"(255,255,255)",34.69039852503191,3
1849,27,"(255,255,255)",63.22081974188058,4
1136,583,"(255,255,255)",34.078003120124805,5
1357,119,"(255,255,255)",36.02325911218267,6
240,139,"(255,255,255)",47.316550843851935,7
1336,751,"(255,255,255)",64.12140121968515,8
1703,399,"(255,255,255)",35.71706140972912,9
1623,834,"(255,255,255)",127.0,10
978,537,"(255,255,255)",68.1920294993618,11
467,355,"(255,255,255)",39.44546872784002,12
81,958,"(255,255,255)",32.474968089632675,13
122,253,"(255,255,255)",87.51850801304779,14
1653,542,"(255,255,255)",45.76755070202808,15
558,994,"(255,255,255)",61.59977308183237,16
1313,1048,"(255,255,255)",51.387179123528576,17
799,803,"(255,255,255)",5.979861012622322,18
1188,702,"(255,255,255)",5.115302793929939,19
1608,941,"(255,255,255)",4.628988795915473,20
1243,303,"(255,255,255)",4.304779463905829,21
800,808,"(255,255,255)",6.376116862856332,22
810,376,"(255,255,255)",4.899163239256843,23
1633,951,"(255,255,255)",4.286767834349737,24
1252,294,"(255,255,255)",4.665012055027655,25
799,833,"(255,255,255)",6.73634945397816,26
986,296,"(255,255,255)",4.9892213870373,27
1717,945,"(255,255,255)",4.647000425471565,28
1205,644,"(255,255,255)",5.007233016593391,29
807,900,"(255,255,255)",7.312721599773082,30
808,203,"(255,255,255)",5.079279534817756,31
1838,906,"(255,255,255)",5.439512125939584,32
494,419,"(255,255,255)",5.457523755495674,33
809,1000,"(255,255,255)",8.753651964260388,34
1269,764,"(255,255,255)",6.196000567295419,35
1195,251,"(255,255,255)",6.232023826407602,36
402,9,"(255,255,255)",13.454687278400227,37
828,890,"(255,255,255)",5.781733087505318,38
1171,760,"(255,255,255)",5.385477237271309,39
545,846,"(255,255,255)",4.971209757481208,40
339,313,"(255,255,255)",4.701035314139839,41
13,5,"(255,255,255)",11.059140547440078,42
1117,813,"(255,255,255)",9.059849666713943,43
636,837,"(255,255,255)",6.988512267763438,44
363,823,"(255,255,255)",5.367465607715218,45
1121,452,"(255,255,255)",4.953198127925117,46
251,19,"(255,255,255)",5.853779605729684,47
1106,1049,"(255,255,255)",5.457523755495674,48
477,413,"(255,255,255)",5.259395830378669,49
165,267,"(255,255,255)",5.871791235285775,50
1496,385,"(255,255,255)",5.781733087505318,51
56,813,"(255,255,255)",5.4935470146078575,52
1427,632,"(255,255,255)",6.898454119982981,53
116,280,"(255,255,255)",27.82796766416111,54
815,743,"(255,255,255)",7.060558785987803,55
63,565,"(255,255,255)",5.961849383066232,56
827,161,"(255,255,255)",5.511558644163948,57
