whitecount_line0,start_line0,end_line0,median_red_contours_touching_line0,median_green_contours_touching_line0,median_blue_contours_touching_line0,whitecount_line1,start_line1,end_line1,median_red_contours_touching_line1,median_green_contours_touching_line1,median_blue_contours_touching_line1,whitecount_line2,start_line2,end_line2,median_red_contours_touching_line2,median_green_contours_touching_line2,median_blue_contours_touching_line2,whitecount_line3,start_line3,end_line3,median_red_contours_touching_line3,median_green_contours_touching_line3,median_blue_contours_touching_line3,whitecount_line4,start_line4,end_line4,median_red_contours_touching_line4,median_green_contours_touching_line4,median_blue_contours_touching_line4,whitecount_line5,start_line5,end_line5,median_red_contours_touching_line5,median_green_contours_touching_line5,median_blue_contours_touching_line5,whitecount_line6,start_line6,end_line6,median_red_contours_touching_line6,median_green_contours_touching_line6,median_blue_contours_touching_line6,whitecount_line7,start_line7,end_line7,median_red_contours_touching_line7,median_green_contours_touching_line7,median_blue_contours_touching_line7,whitecount_line8,start_line8,end_line8,median_red_contours_touching_line8,median_green_contours_touching_line8,median_blue_contours_touching_line8,whitecount_line9,start_line9,end_line9,median_red_contours_touching_line9,median_green_contours_touching_line9,median_blue_contours_touching_line9
7,174,179,-1,-1,-1,0,348,353,-1,-1,-1,16,522,527,78,51,53,776,696,701,107,79,97,2766,870,875,137,88,121,3171,1044,1049,137,88,121,2150,1218,1223,137,88,121,2,1392,1397,53,41,46,0,1566,1571,-1,-1,-1,121,1740,1745,78,60,54
0,174,179,-1,-1,-1,26,348,353,76,53,61,83,522,527,86,58,57,1098,696,701,137,88,121,2936,870,875,137,88,121,3327,1044,1049,107,75,94,2284,1218,1223,137,88,121,0,1392,1397,-1,-1,-1,0,1566,1571,-1,-1,-1,31,1740,1745,84,57,52
7,174,179,-1,-1,-1,81,348,353,93,44,30,25,522,527,88,69,75,1456,696,701,106,73,92,3094,870,875,137,88,120,3430,1044,1049,95,51,74,2436,1218,1223,137,88,120,12,1392,1397,-1,-1,-1,2,1566,1571,-1,-1,-1,13,1740,1745,127,34,3
0,174,179,-1,-1,-1,0,348,353,-1,-1,-1,46,522,527,101,39,29,1870,696,701,99,72,89,3228,870,875,138,88,121,3547,1044,1049,97,67,84,2621,1218,1223,138,88,121,0,1392,1397,-1,-1,-1,2,1566,1571,-1,-1,-1,155,1740,1745,127,32,2
6,174,179,83,66,72,26,348,353,64,48,54,0,522,527,-1,-1,-1,2007,696,701,137,88,121,3364,870,875,137,88,121,3659,1044,1049,137,88,121,2753,1218,1223,137,88,121,12,1392,1397,-1,-1,-1,44,1566,1571,76,50,57,132,1740,1745,127,32,2
8,174,179,-1,-1,-1,12,348,353,74,68,71,7,522,527,-1,-1,-1,2142,696,701,138,89,121,3454,870,875,138,89,121,3828,1044,1049,138,89,121,2933,1218,1223,138,89,121,12,1392,1397,83,54,90,9,1566,1571,57,42,44,0,1740,1745,-1,-1,-1
6,174,179,91,44,53,10,348,353,73,51,59,9,522,527,87,51,43,2194,696,701,137,88,121,3520,870,875,137,88,121,3922,1044,1049,137,88,121,3180,1218,1223,137,88,121,726,1392,1397,137,88,121,10,1566,1571,73,48,54,0,1740,1745,-1,-1,-1
4,174,179,94,47,48,0,348,353,-1,-1,-1,83,522,527,86,52,42,2149,696,701,104,73,92,3635,870,875,137,88,122,3950,1044,1049,137,88,122,3436,1218,1223,137,88,122,1688,1392,1397,137,88,122,4,1566,1571,98,50,48,0,1740,1745,-1,-1,-1
2,174,179,52,25,30,0,348,353,-1,-1,-1,15,522,527,87,53,44,1987,696,701,137,88,121,3687,870,875,137,88,121,4004,1044,1049,137,88,121,3691,1218,1223,137,88,121,2040,1392,1397,137,88,121,9,1566,1571,91,41,47,2,1740,1745,-1,-1,-1
7,174,179,94,53,57,2,348,353,-1,-1,-1,6,522,527,-1,-1,-1,1830,696,701,104,70,90,3672,870,875,136,88,121,4046,1044,1049,105,75,92,3815,1218,1223,136,88,121,2546,1392,1397,136,88,121,3,1566,1571,80,44,57,63,1740,1745,90,58,47
9,174,179,85,46,55,59,348,353,71,53,58,38,522,527,72,57,62,1645,696,701,136,87,120,3619,870,875,101,68,87,4038,1044,1049,136,87,120,3952,1218,1223,136,87,120,2821,1392,1397,136,87,120,13,1566,1571,81,69,74,72,1740,1745,90,54,48
13,174,179,100,50,56,34,348,353,85,46,45,9,522,527,65,33,22,1558,696,701,135,87,120,3616,870,875,99,66,86,4044,1044,1049,135,87,120,3993,1218,1223,135,87,120,2987,1392,1397,135,87,120,15,1566,1571,75,61,66,67,1740,1745,91,57,50
